Category,Question,Correct Choice,Choice B,Choice C,Difficulty
Math,What is 15% of 200?,30,20,15,2
Math,Solve: 7x=56,8,7,9,1
Math,Area of rectangle 5x8?,40,13,26,1
Math,PI approx?,3.14,2.17,4.13,1
Math,Square root of 81?,9,8,7,2
Math,"Slope from (0,0) to (2,4)?",2,4,1,3
Math,1/2 + 1/4?,3/4,2/6,1,3
Math,"Mean of 2,4,6?",4,3,5,2
Math,10^3?,1000,100,300,1
Math,Perimeter of square side6?,24,36,12,2
Science,Planet known as Red Planet?,Mars,Venus,Jupiter,1
Science,H2O is?,Water,Oxygen,Hydrogen,1
Science,Gas plants absorb?,Carbon dioxide,Nitrogen,Helium,2
Science,Force keeping us on Earth?,Gravity,Magnetism,Friction,1
Science,Center of atom?,Nucleus,Electron,Proton cloud,3
Science,Boiling point water C?,100,90,80,2
Science,DNA carries?,Genetic information,Blood,Energy,3
Science,Largest organ?,Skin,Heart,Liver,2
Science,Process plants make food?,Photosynthesis,Respiration,Fermentation,2
Science,Unit of force?,Newton,Joule,Watt,3
English,Synonym of 'happy'?,Joyful,Angry,Tiny,1
English,A noun is a?,Person/place/thing,Action,Description,1
English,Correct 'their/there/they're' for ownership?,their,there,they're,3
English,Main idea means?,Central point,Last sentence,Title only,2
English,Past tense of go?,Went,Goed,Gone,1
English,Antonym of increase?,Decrease,Expand,Grow,1
English,A metaphor is?,Direct comparison,Question,List,3
English,Paragraph should have?,Topic sentence,Random facts,Only dialogue,2
English,Comma separates?,Items in a list,Every word,Numbers only,2
English,Plural of child?,Children,Childs,Childes,2
History,US Declaration signed in?,1776,1492,1865,1
History,First US president?,George Washington,Abraham Lincoln,John Adams,1
History,Civil War ended?,1865,1776,1918,1
History,WWII ended?,1945,1939,1955,1
History,Ancient pyramids in?,Egypt,Greece,China,1
History,Cold War mainly US vs?,Soviet Union,Germany,Japan,2
History,Emancipation Proclamation freed?,Enslaved people in rebelling states,All taxes,Women voters,4
History,Magna Carta limited?,King's power,Ocean travel,Trade,4
History,Renaissance began in?,Italy,Brazil,Canada,3
History,Constitution is?,Supreme law,Novel,Speech,3
Government,US has how many branches?,3,2,4,2
Government,Highest US court?,Supreme Court,Appeals Court,Senate,2
Government,Votes laws?,Congress,President,Governors,2
Government,First Amendment protects?,Speech,Driving,Taxes,2
Government,President term?,4 years,6 years,2 years,1
Government,Voting age?,18,16,21,1
Government,Senators per state?,2,1,3,2
Government,Capital of US?,"Washington, D.C.",New York,Chicago,1
Government,Executive branch led by?,President,Chief Justice,Speaker,2
Government,Constitution begins with?,We the People,Liberty First,Congress Acts,2
Finance,Money earned at a job?,Income,Debt,Tax,1
Finance,Budget helps you?,Plan spending,Increase debt,Skip bills,1
Finance,Interest on savings?,Money earned,Fee only,Tax refund,2
Finance,Credit score affects?,Loan approval,Eye color,Grades,3
Finance,W-2 relates to?,Taxes,Sports,Medicine,2
Finance,Emergency fund is for?,Unexpected expenses,Vacation only,Shopping,2
Finance,Need vs want?,Food is a need,Video game is need,Candy is need,2
Finance,Debit card uses?,Bank account funds,Borrowed money,Gift points,2
Finance,Scholarship is?,Education funding,Car loan,Tax bill,1
Finance,Compound interest means?,Interest on interest,No interest,One-time fee,4
Digital Literacy,Strong password includes?,Letters numbers symbols,123456,password,2
Digital Literacy,Phishing tries to?,Steal information,Speed internet,Fix computer,3
Digital Literacy,Cloud storage is?,Online file storage,Weather app,Antivirus,3
Digital Literacy,HTTPS indicates?,Secure connection,Slow site,Offline mode,3
Digital Literacy,Backup means?,Copy data,Delete files,Print pages,2
Digital Literacy,Spam email is?,Unwanted messages,School email,Family email,1
Digital Literacy,Two-factor authentication adds?,Extra security,Extra ads,Extra storage,3
Digital Literacy,Copyright protects?,Creative works,Weather,Passwords,2
Digital Literacy,Browser is used to?,Access websites,Edit photos only,Charge phone,1
Digital Literacy,Malware is?,Harmful software,Computer game,Printer ink,2
Health,Adults should generally sleep?,7-9 hours,3-4 hours,12-15 hours,1
Health,Exercise benefits?,Heart health,Nothing,Only height,1
Health,Dehydration prevented by?,Drinking water,Skipping fluids,Only soda,1
Health,Balanced diet includes?,Variety of foods,Candy only,Protein only,1
Health,CPR is for?,Cardiac emergencies,Cooking,Driving,2
Health,Stress can be managed by?,Healthy coping,Ignoring forever,No sleep,2
Health,Vitamin from sunlight?,Vitamin D,Vitamin C,Vitamin K,2
Health,Handwashing reduces?,Germs,Homework,Gravity,1
Health,Smoking increases risk of?,Disease,Better lungs,Perfect fitness,1
Health,Mental health matters?,Yes,No,Only for adults,1
Career & College,Resume should include?,Skills and experience,Passwords,Gossip,2
Career & College,Interview attire should be?,Neat and appropriate,Pajamas,Swimwear,1
Career & College,FAFSA is for?,Financial aid,Driver license,Passport,3
Career & College,Networking means?,Building professional relationships,Playing games,Sleeping,2
Career & College,Internship provides?,Work experience,Guaranteed job,Free car,2
Career & College,Cover letter accompanies?,Resume,Textbook,Transcript only,2
Career & College,Community colleges often offer?,Affordable education,Only sports,Only online games,2
Career & College,Apprenticeship combines?,Work and training,Vacation and travel,Music only,3
Career & College,Soft skill example?,Communication,Height,Hair color,2
Career & College,Goal setting works best when goals are?,Specific and measurable,Impossible,Secret,2
Math,What is the derivative of x^2?,2x,x^2,2,4
Math,Solve: log2(64)=?,6,8,5,5
Science,What is the powerhouse of the cell?,Mitochondria,Nucleus,Ribosome,4
Science,What is Schrödinger's equation used for?,Quantum states,Gravity,Electricity,5
English,Which is a complex sentence?,Although tired I worked hard,Tired I worked,I worked hard,4
English,Identify the dangling modifier,Running quickly the bus left,The bus left quickly,Quickly the bus,5
History,What was the Magna Carta?,Charter limiting king power,War treaty,Trade agreement,5
Government,What is judicial review?,Courts can strike down laws,Congress votes,President signs,4
Government,What is federalism?,Power divided state/federal,All power federal,All power state,5
Finance,What is a mutual fund?,Pooled investment vehicle,Savings account,Credit card,4
Finance,What is dollar-cost averaging?,Invest fixed amount regularly,Buy low sell high,Save cash only,5
Digital Literacy,What is encryption?,Converting data to secure code,Deleting files,Backing up data,4
Digital Literacy,What is a zero-day exploit?,Unknown vulnerability attack,Virus scan,Password reset,5
Health,What is BMI?,Body mass index,Blood measure,Brain index,3
Health,What is the recommended daily water intake?,About 8 cups,1 gallon only,2 cups max,4
Health,What is a chronic disease?,Long-lasting condition,Sudden illness,Contagious disease,5
Career & College,What is a career fair?,Job networking event,Job guarantee,Interview exam,4
Career & College,What is a 5-year plan?,Long-term goal strategy,5-year loan,College requirement,5
